# Ontologie canonique des ingredients. nom_fr et prix_eur_kg
# sont remplis par les etapes 04 (traduction) et 05 (prix).
id,nom_fr,nom_en,categorie,g_par_ml,g_par_piece,g_ml_defaut,g_piece_defaut,ml_jus,conservation_j,fond_placard,allergenes,prix_eur_kg,prix_cure,occurrences
salt,,salt,epice,1.22,,0.50,2,,730,1,,0.6,1,258202
pepper_black,,black pepper,epice,,,0.50,2,,730,1,,22.0,1,151718
butter,,butter,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,9.5,1,149758
sugar_white,,sugar,sucrant,0.85,,0.85,20,,730,1,,1.2,1,134922
onion,,onion,legume,,150.0,0.60,120,,7,0,,1.5,1,119707
egg,,egg,oeuf,,50.0,1.03,50,,28,0,oeuf,5.5,1,118889
garlic,,garlic clove,legume,,5.0,0.60,120,,7,0,,8.0,1,116083
flour,,flour,cereale,0.53,,0.70,100,,365,1,gluten,1.1,1,110371
water,,water,boisson,1.0,,1.00,250,,90,0,,0.01,1,93130
olive_oil,,olive oil,legume,0.92,,0.60,120,,7,0,,8.5,1,89185
milk,,milk,laitier,1.03,,1.02,200,,10,0,lactose,1.1,1,68043
vanilla_extract,,vanilla,patisserie,,,0.60,10,,365,1,,60.0,1,61712
vegetable_oil,,vegetable oil,matiere_grasse,0.92,,0.92,113,,120,1,,2.5,1,53795
sugar_brown,,brown sugar,sucrant,0.93,,0.85,20,,730,1,,2.2,1,50823
tomato,,tomato,legume,,120.0,0.60,120,,7,0,,3.0,1,46476
cinnamon,,cinnamon,epice,,,0.50,2,,730,1,,18.0,1,42625
lemon_juice,,lemon juice,fruit,1.04,100.0,0.65,150,45.0,7,0,,3.5,1,39581
baking_powder,,baking powder,epice,0.9,,0.50,2,,730,1,,8.0,1,37804
parsley,,parsley,herbe,,,0.25,5,,5,0,,18.0,1,37071
spring_onion,,green onion,legume,,15.0,0.60,120,,7,0,,6.0,1,34428
carrot,,carrot,legume,,60.0,0.60,120,,7,0,,1.3,1,32268
baking_soda,,baking soda,patisserie,0.95,,0.60,10,,365,1,,3.0,1,31639
parmesan,,parmesan cheese,fromage,0.4,,0.45,30,,21,0,lactose,22.0,1,31184
sour_cream,,sour cream,laitier,0.96,,1.02,200,,10,0,lactose,3.5,1,28660
celery,,celery,legume,,,0.60,120,,7,0,,2.5,1,27241
cheddar,,cheddar cheese,fromage,0.45,,0.45,30,,21,0,lactose,12.0,1,27162
ginger,,ginger,epice,,,0.50,2,,730,1,,6.0,1,26995
chicken_breast,,chicken breast,volaille,,175.0,0.70,150,,2,0,,11.0,1,26965
chicken_broth,,chicken broth,volaille,1.0,,0.70,150,,2,0,,1.5,1,26643
basil,,basil,herbe,,,0.25,5,,5,0,,30.0,1,24824
cumin,,cumin,epice,,,0.50,2,,730,1,,16.0,1,24219
cream_cheese,,cream cheese,fromage,0.45,,0.45,30,,21,0,lactose,8.0,1,24186
cream_heavy,,heavy cream,laitier,0.99,,1.02,200,,10,0,lactose,4.5,1,23259
sugar_icing,,powdered sugar,epice,0.56,,0.50,2,,730,1,,2.5,1,22919
potato,,potato,legume,,170.0,0.60,120,,7,0,,1.2,1,22520
bell_pepper_red,,red bell pepper,epice,,150.0,0.50,2,,730,1,,4.5,1,22177
garlic_powder,,garlic powder,epice,,50.0,0.50,2,,730,1,,12.0,1,21311
oregano,,oregano,herbe,,,0.25,5,,5,0,,25.0,1,21045
beef,,beef,viande,,,0.70,150,,3,0,,14.0,1,20625
thyme,,thyme,herbe,,,0.25,5,,5,0,,28.0,1,20601
nutmeg,,nutmeg,epice,0.5,,0.50,2,,730,1,,40.0,1,20253
honey,,honey,sucrant,1.42,,0.85,20,,730,1,,12.0,1,19790
mayonnaise,,mayonnaise,condiment,0.91,,1.05,15,,180,1,oeuf,5.0,1,19654
soy_sauce,,soy sauce,condiment,1.15,,1.05,15,,180,1,soja,6.0,1,19501
bell_pepper_green,,green pepper,epice,,,0.50,2,,730,1,,3.8,1,19497
mushroom,,mushroom,legume,,20.0,0.60,120,,7,0,,5.5,1,18067
cilantro,,cilantro,herbe,,,0.25,5,,5,0,,25.0,1,18006
lemon,,lemon,fruit,,100.0,0.65,150,45.0,7,0,,3.0,1,17471
cayenne,,cayenne pepper,epice,,,0.50,2,,730,1,,20.0,1,17075
cornstarch,,cornstarch,patisserie,0.51,,0.60,10,,365,1,,3.0,1,16860
paprika,,paprika,epice,,,0.50,2,,730,1,,14.0,1,16807
worcestershire,,worcestershire sauce,condiment,,,1.05,15,,180,1,,9.0,1,15881
chili_powder,,chili powder,epice,,,0.50,2,,730,1,,14.0,1,15162
onion_red,,red onion,legume,,150.0,0.60,120,,7,0,,2.2,1,14872
bacon,,bacon,viande,,25.0,0.70,150,,3,0,,13.0,1,14376
pecan,,pecan,oleagineux,,,0.50,1,,180,0,fruits_a_coque,22.0,1,13701
