# Prix de reference en EUR/kg (ou EUR/L), supermarche belge, marque distributeur.
# Ce sont des ORDRES DE GRANDEUR destines a estimer le cout d'un repas, pas des
# prix releves. L'app permet de corriger chaque prix ; les corrections de
# l'utilisateur ont la priorite et rendent l'estimation juste pour LUI.
# Les ingredients absents retombent sur le prix moyen de leur categorie.
id,eur_kg
salt,0.60
sugar_white,1.20
sugar_brown,2.20
sugar_icing,2.50
flour,1.10
flour_bread,1.60
flour_self_raising,1.50
butter,9.50
margarine,3.50
egg,5.50
egg_white,6.00
egg_yolk,8.00
water,0.01
ice,0.01
milk,1.10
buttermilk,1.60
cream,4.00
cream_heavy,4.50
sour_cream,3.50
half_and_half,3.00
yogurt,2.50
milk_evaporated,3.00
milk_condensed,5.00
coconut_milk,3.50
whipped_cream,8.00
whipped_topping,6.00
ice_cream,5.00
cream_cheese,8.00
cottage_cheese,4.50
ricotta,6.50
cheese,12.00
parmesan,22.00
cheddar,12.00
mozzarella,9.00
swiss_cheese,14.00
feta,11.00
monterey_jack,14.00
processed_cheese,8.00
olive_oil,8.50
vegetable_oil,2.50
canola_oil,3.00
sunflower_oil,2.20
peanut_oil,4.50
sesame_oil,12.00
shortening,4.00
cooking_spray,20.00
onion,1.50
onion_red,2.20
spring_onion,6.00
shallot,4.50
garlic,8.00
carrot,1.30
celery,2.50
potato,1.20
sweet_potato,2.80
tomato,3.00
tomato_cherry,5.50
bell_pepper,4.00
bell_pepper_red,4.50
bell_pepper_green,3.80
jalapeno,12.00
chili_green,8.00
mushroom,5.50
zucchini,2.50
cucumber,2.00
eggplant,3.20
spinach,6.00
broccoli,3.00
cauliflower,2.50
cabbage,1.50
lettuce,4.00
leek,2.50
corn,2.50
pea,2.80
bean_green,4.00
avocado,7.00
olive,9.00
caper,18.00
parsnip,2.50
pumpkin,1.80
asparagus,9.00
artichoke,9.00
water_chestnut,5.00
sauerkraut,3.00
rhubarb,4.00
lemon,3.00
lemon_juice,3.50
lemon_zest,3.00
lime,6.00
lime_juice,5.00
orange,2.20
orange_juice,1.80
orange_zest,2.20
apple,2.50
apple_juice,1.50
applesauce,2.50
banana,1.80
strawberry,8.00
blueberry,14.00
raspberry,18.00
cranberry,12.00
peach,3.50
pear,2.80
pineapple,2.50
pineapple_juice,2.00
mango,4.50
apricot,4.50
raisin,6.00
coconut,8.00
parsley,18.00
basil,30.00
cilantro,25.00
chive,30.00
dill,28.00
mint,28.00
rosemary,25.00
thyme,28.00
sage,30.00
tarragon,35.00
marjoram,32.00
bay_leaf,40.00
pepper_black,22.00
pepper_white,26.00
cinnamon,18.00
cinnamon_stick,22.00
nutmeg,40.00
cumin,16.00
paprika,14.00
cayenne,20.00
chili_powder,14.00
chili_flakes,18.00
curry_powder,15.00
turmeric,14.00
oregano,25.00
garlic_powder,12.00
onion_powder,12.00
garlic_salt,8.00
seasoned_salt,9.00
clove,35.00
allspice,30.00
cardamom,60.00
coriander,16.00
ginger,6.00
italian_seasoning,20.00
garam_masala,22.00
taco_seasoning,15.00
celery_seed,25.00
sesame_seed,8.00
chicken,7.50
chicken_breast,11.00
chicken_thigh,7.00
turkey,10.00
beef,14.00
pork,9.00
pork_chop,10.00
pork_tenderloin,14.00
ham,14.00
bacon,13.00
sausage_italian,11.00
prosciutto,35.00
shrimp,20.00
salmon,22.00
chicken_broth,1.50
beef_broth,1.50
vegetable_broth,1.50
rice_white,2.00
rice_brown,2.80
pasta,1.80
pasta_spaghetti,1.80
pasta_macaroni,1.80
pasta_linguine,2.20
oats,2.20
cornmeal,2.50
cornstarch,3.00
breadcrumbs,3.50
graham_crumbs,8.00
bread,3.00
tortilla,6.00
tortilla_corn,6.00
pie_crust,8.00
puff_pastry,7.00
wheat_germ,6.00
bean_black,3.00
bean_kidney,2.80
bean_pinto,2.80
chickpea,2.80
tofu,8.00
almond,16.00
walnut,15.00
pecan,22.00
peanut,8.00
pine_nut,55.00
peanut_butter,7.00
honey,12.00
maple_syrup,20.00
corn_syrup,4.00
molasses,6.00
chocolate,12.00
chocolate_chips,11.00
cocoa,14.00
marshmallow,8.00
mayonnaise,5.00
mustard,5.00
mustard_dijon,7.00
ketchup,3.50
soy_sauce,6.00
worcestershire,9.00
fish_sauce,8.00
hot_sauce,14.00
chili_sauce,8.00
bbq_sauce,5.00
salsa,6.00
horseradish,12.00
liquid_smoke,25.00
vinegar_white,1.20
vinegar_cider,3.00
vinegar_balsamic,8.00
vinegar_red_wine,4.00
vinegar_white_wine,4.00
vinegar_rice,5.00
tomato_sauce,2.50
tomato_paste,5.00
tomato_sundried,18.00
soup_mushroom,4.00
soup_chicken,4.00
wine_white,6.00
wine_red,6.00
beer,3.00
rum,25.00
brandy,28.00
sherry,12.00
baking_powder,8.00
baking_soda,3.00
yeast,15.00
vanilla_extract,60.00
almond_extract,60.00
cream_of_tartar,25.00
