# Fusion des variantes vers un ingredient canonique.
# Colonne 1 : forme repliee telle qu'elle sort de marmite.normalize.text
# Colonne 2 : identifiant canonique
variante,canonique
salt,salt
kosher salt,salt
sea salt,salt
table salt,salt
fine salt,salt
sugar,sugar_white
granulated sugar,sugar_white
white sugar,sugar_white
caster sugar,sugar_white
superfine sugar,sugar_white
brown sugar,sugar_brown
dark brown sugar,sugar_brown
light brown sugar,sugar_brown
powdered sugar,sugar_icing
confectioner sugar,sugar_icing
icing sugar,sugar_icing
flour,flour
all-purpose flour,flour
wheat flour,flour
white flour,flour
plain flour,flour
bread flour,flour_bread
self raising flour,flour_self_raising
butter,butter
margarine,margarine
egg,egg
hard-boiled egg,egg
egg white,egg_white
egg yolk,egg_yolk
water,water
onion,onion
yellow onion,onion
white onion,onion
sweet onion,onion
red onion,onion_red
green onion,spring_onion
scallion,spring_onion
spring onion,spring_onion
shallot,shallot
garlic,garlic
garlic clove,garlic
garlic powder,garlic_powder
garlic salt,garlic_salt
olive oil,olive_oil
virgin olive oil,olive_oil
vegetable oil,vegetable_oil
cooking oil,vegetable_oil
oil,vegetable_oil
canola oil,canola_oil
peanut oil,peanut_oil
sesame oil,sesame_oil
sunflower oil,sunflower_oil
cooking spray,cooking_spray
shortening,shortening
milk,milk
skim milk,milk
buttermilk,buttermilk
evaporated milk,milk_evaporated
condensed milk,milk_condensed
coconut milk,coconut_milk
cream,cream
heavy cream,cream_heavy
whipping cream,cream_heavy
heavy whipping cream,cream_heavy
half-and-half,half_and_half
sour cream,sour_cream
yogurt,yogurt
whipped cream,whipped_cream
whipped topping,whipped_topping
cool whip,whipped_topping
cream cheese,cream_cheese
cottage cheese,cottage_cheese
ricotta cheese,ricotta
cheese,cheese
cheddar cheese,cheddar
sharp cheddar cheese,cheddar
parmesan cheese,parmesan
mozzarella cheese,mozzarella
swiss cheese,swiss_cheese
feta cheese,feta
monterey jack cheese,monterey_jack
velveeta cheese,processed_cheese
pepper,pepper_black
